# Deterministic regression sample (seed 0): 3 corpus stems per jubarte-Jaccard decile (30) + 2 docxide cases per decile (20).
# set	id	docx	reference_pdf	jubarte_J_2026-09-05	stratum
corpus	source__Redline_CiceroDo_v_plate_30	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/Redline_CiceroDo_v_plate_30.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/Redline_CiceroDo_v_plate_30.pdf	8.1	decile1
corpus	source__endnotes_sample	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/endnotes_sample.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/endnotes_sample.pdf	7.6	decile1
corpus	source_randomized__file_47	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_47.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_47.pdf	1.6	decile1
corpus	source__project_tasks_suggesting_insertions	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/project_tasks_suggesting_insertions.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/project_tasks_suggesting_insertions.pdf	13.3	decile2
corpus	source__q1_sales_summary_table	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/q1_sales_summary_table.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/q1_sales_summary_table.pdf	14.7	decile2
corpus	source_randomized__file_184	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_184.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_184.pdf	14.6	decile2
corpus	source__eigenpal_docx_editor_suggesting_mixed_edits	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/eigenpal_docx_editor_suggesting_mixed_edits.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/eigenpal_docx_editor_suggesting_mixed_edits.pdf	17.9	decile3
corpus	source__multi_section	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/multi_section.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/multi_section.pdf	18.1	decile3
corpus	source_randomized__file_76	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_76.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_76.pdf	18.4	decile3
corpus	source__docx_lots_of_comments_addition_redline_addition_v_removal	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/docx_lots_of_comments_addition_redline_addition_v_removal.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/docx_lots_of_comments_addition_redline_addition_v_removal.pdf	29.3	decile4
corpus	source_randomized__file_83	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_83.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_83.pdf	26.9	decile4
corpus	source_randomized__file_93	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_93.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_93.pdf	25.3	decile4
corpus	source__red_heading_demo_id_paraid_overflow	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/red_heading_demo_id_paraid_overflow.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/red_heading_demo_id_paraid_overflow.pdf	41.6	decile5
corpus	source__superscript_demo_id_paraid_overflow	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/superscript_demo_id_paraid_overflow.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/superscript_demo_id_paraid_overflow.pdf	34.7	decile5
corpus	source_randomized__file_9	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_9.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_9.pdf	30.0	decile5
corpus	source__project_tasks_suggesting_insertions_2	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/project_tasks_suggesting_insertions_2.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/project_tasks_suggesting_insertions_2.pdf	59.0	decile6
corpus	source_randomized__file_174	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_174.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_174.pdf	51.3	decile6
corpus	source_randomized__file_48	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_48.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_48.pdf	48.8	decile6
corpus	source__header_no_rels	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/header_no_rels.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/header_no_rels.pdf	76.9	decile7
corpus	source_randomized__file_191	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_191.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_191.pdf	88.3	decile7
corpus	source_randomized__file_31	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_31.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_31.pdf	91.5	decile7
corpus	source__right_aligned_italic_demo_id_paraid_overflow	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source/right_aligned_italic_demo_id_paraid_overflow.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source/right_aligned_italic_demo_id_paraid_overflow.pdf	93.1	decile8
corpus	source_randomized__file_105	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_105.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_105.pdf	93.6	decile8
corpus	source_randomized__file_121	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/docx_source_randomized/file_121.docx	../../neurotic_docx_bench/corpus/no_comments_pdf_was_generated_by_word/pdf_source_randomized/file_121.pdf	94.7	decile8
