# jubarte convert baseline (398 set), jubarte 0.9.0, 2026-09-05
# mean Jaccard 53.10, median 43.50, n=398
# ratchet: row drop >1.0 or mean drop >0.2 is a regression (planning/plan.md)
stem	jaccard	ssim	text_boundary
source__1_5_line_spacing_id_paraid_overflow	85.3066	99.5281	100.0000
source__24_id_paraid_overflow	90.6667	98.3515	100.0000
source__I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you	27.6140	58.8505	69.5122
source__Redline_CiceroDo_v_plate_30	8.0742	21.1927	26.0000
source__Strict01	43.4967	56.1413	29.9270
source__alternate_content	17.4122	20.0804	0.0000
source__anchor_images	14.3284	20.7520	5.2632
source__blue_bold_centered_demo_id_paraid_overflow	95.1270	98.9192	100.0000
source__blue_centered_title_demo_style_default_missing	27.6664	55.0238	100.0000
source__blue_italic_text_demo_id_paraid_overflow	94.4213	98.8997	100.0000
source__blue_underline_combo_demo_id_paraid_overflow	80.7358	94.2862	100.0000
source__bold_and_italic_combo_style_default_missing	98.5379	99.7055	100.0000
source__bold_and_underline_combo_id_paraid_overflow	78.6904	94.3060	100.0000
source__bold_italic_combined_demo_id_paraid_overflow	97.3313	99.4039	100.0000
source__bold_italic_underline_demo_id_paraid_overflow	77.6476	94.5721	100.0000
source__bold_red_text_combo_id_paraid_overflow	95.7415	98.9740	100.0000
source__bold_superscript_demo_style_default_missing	44.9509	44.5907	100.0000
source__bold_text_formatting_demo_id_paraid_overflow	96.0619	99.0871	100.0000
source__bold_text_formatting_demo_id_paraid_overflow_2	97.6584	99.4337	100.0000
source__bold_underline_combined_demo_id_paraid_overflow	77.2905	94.0961	100.0000
source__bold_underline_highlight_demo_id_paraid_overflow	77.6558	94.2891	100.0000
source__book_catalog_id_paraid_overflow	57.3431	68.5671	33.3333
source__book_catalog_table	13.2670	71.4115	100.0000
source__budget_report_q1_2026_suggesting_insertions	96.2970	98.8938	100.0000
source__bullet_list_bold_demo_id_paraid_overflow	96.0198	99.0422	100.0000
source__bullet_list_demo_id_paraid_overflow	22.5336	36.0401	20.0000
source__calibri_bold_italic_demo_id_paraid_overflow	26.6259	32.2962	100.0000
source__calibri_font_demo_id_paraid_overflow	19.2477	27.0789	100.0000
source__calibri_font_demo_id_paraid_overflow_2	19.2900	26.9580	100.0000
source__calibri_heading_2_right_id_paraid_overflow	25.3575	30.2221	100.0000
source__center_aligned_bold_text_id_paraid_overflow	97.7120	99.5762	100.0000
source__center_alignment_demo_id_paraid_overflow	96.2053	99.1225	100.0000
source__center_alignment_demo_id_paraid_overflow_2	96.0490	99.1764	100.0000
source__center_bold_demo_id_paraid_overflow	94.1763	98.3848	100.0000
source__clear_formatting_demo_id_paraid_overflow	97.3227	99.3385	100.0000
source__comments	100.0000	100.0000	100.0000
source__complex_style_attr	3.2741	10.8874	100.0000
source__contract_review_suggesting_insertions	14.7496	72.9508	100.0000
source__contract_review_suggesting_mixed_edits	31.2510	47.3790	33.3333
source__customer_satisfaction_survey_q4_suggesting_insertions	96.6609	98.7742	100.0000
source__document_100_ultimate_demo_id_paraid_overflow	35.9896	84.9779	100.0000
source__docx_lots_of_comments	31.6088	68.2105	79.4355
source__docx_lots_of_comments_addition	29.4976	63.0842	58.1871
source__docx_lots_of_comments_addition_redline	29.4976	63.0842	58.1871
source__docx_lots_of_comments_addition_redline_addition_v_removal	29.2922	62.4783	58.1871
source__docx_lots_of_comments_addition_removal	29.5382	62.9998	58.1871
source__docx_lots_of_comments_addition_removal_redline	29.4976	63.0842	58.1871
source__docx_lots_of_comments_addition_removal_redline_removal_v_addition	28.3970	64.0505	34.4648
source__double_spacing_bold_demo_id_paraid_overflow	95.2624	98.6690	100.0000
source__eigenpal_docx_editor_suggesting_mixed_edits	17.8746	41.5474	37.5000
source__eigenpal_docx_editor_suggesting_mixed_edits_2	19.1905	48.4591	97.5000
source__employee_directory_table	13.7251	72.4963	100.0000
source__employee_directory_table_2	13.2971	68.6030	100.0000
source__employee_review_john_smith_suggesting_insertions	95.9887	98.8270	100.0000
source__endnotes_sample	7.6232	15.3362	0.0000
source__font_color_blue_demo_style_default_missing	94.7325	99.1961	100.0000
source__font_color_demo_style_default_missing	98.0426	99.6416	100.0000
source__font_family_demo_id_paraid_overflow	6.9540	21.3437	100.0000
source__font_size_12_demo_id_paraid_overflow	99.4443	99.6815	100.0000
source__font_size_18_demo_style_default_missing	86.3504	93.8584	100.0000
source__font_size_24_demo_id_paraid_overflow	92.4834	97.0412	100.0000
source__font_size_demo_id_paraid_overflow	90.9067	96.5164	100.0000
source__footnotes_sample	12.6792	13.9622	0.0000
source__gdocs_comments_export	62.7641	99.0098	100.0000
source__green_bold_text_demo_id_paraid_overflow	92.0785	98.4094	100.0000
source__green_highlight_demo_id_paraid_overflow	96.4286	98.3741	100.0000
source__green_underline_bullet_list_id_paraid_overflow	83.1085	93.1167	100.0000
source__header_no_rels	76.9214	96.3844	100.0000
source__heading_1_bold_demo_id_paraid_overflow	41.6859	89.0417	100.0000
source__heading_1_style_demo_id_paraid_overflow	48.4085	96.2618	100.0000
source__heading_2_center_demo_id_paraid_overflow	40.4610	92.7849	100.0000
source__heading_2_style_demo_id_paraid_overflow	42.7226	94.5823	100.0000
source__heading_3_center_italic_id_paraid_overflow	54.5102	99.5192	100.0000
source__heading_3_style_demo_id_paraid_overflow	49.4575	99.7499	100.0000
source__heading_3_style_demo_id_paraid_overflow_2	55.9895	99.5174	100.0000
source__heading_4_right_italic_id_paraid_overflow	53.4727	99.9245	100.0000
source__heading_4_style_demo_id_paraid_overflow	52.6424	99.9953	100.0000
source__heading_4_style_demo_id_paraid_overflow_2	55.2166	99.9496	100.0000
source__helvetica_font_demo_style_default_missing	29.3360	97.4619	100.0000
source__hr_onboarding_checklist_table	16.4439	78.6984	100.0000
source__image_out_of_folder	48.7934	38.7643	36.3636
source__increase_indent_demo_id_paraid_overflow	97.4673	99.4124	100.0000
source__insert_link_demo_id_paraid_overflow	96.9212	99.3592	100.0000
source__inventory_list_suggesting_deletions	13.7394	74.3255	100.0000
source__inventory_list_suggesting_mixed_edits	67.4840	78.4149	0.0000
