# role	stem	baseline_score
# selection: worst 50 + all >90 (cap 10) + next-highest fill to 10 controls
worst	redline_randomized__file_154_file_155_redline	14.7624707920
worst	redline_randomized__file_196_file_197_redline	32.5259180116
worst	redline_randomized__file_77_file_78_redline	33.3036696918
worst	accepted__strict01_sdt_controls_strict01_word_redline	33.3055766969
worst	redline_randomized__file_184_file_185_redline	34.5131853831
worst	redline_randomized__file_78_file_79_redline	34.5501253937
worst	accepted__verdana_italic_centered_demo_id_paraid_overflow_word_clean_strict01_redline	34.6831692622
worst	accepted__numwords_fldsimple_ole_object_word_redline	34.7682987292
worst	accepted__small_font_size_demo_id_paraid_overflow_strict01_sdt_controls_word_redline	34.8771152436
worst	redline_randomized__file_195_file_196_redline	35.0879064827
worst	redline_randomized__file_114_file_115_redline	35.1389262067
worst	redline_randomized__file_99_file_100_redline	35.2494776523
worst	redline_randomized__file_100_file_101_redline	35.2752052979
worst	redline_randomized__file_185_file_186_redline	35.3304474023
worst	redline_randomized__file_115_file_116_redline	35.4617718484
worst	accepted__document_100_ultimate_demo_id_paraid_overflow_docx_lots_of_comments_addition_redline_addition_v_removal_redline	36.1452163122
worst	accepted__docx_lots_of_comments_double_spacing_bold_demo_id_paraid_overflow_redline	36.6492167880
worst	accepted__I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you_increase_indent_demo_id_paraid_overflow_redline	36.7245495166
worst	redline_randomized__file_15_file_16_redline	36.8895523234
worst	accepted__sample_document_word_repair_of_our_output_word_repaired_sd_2517_localized_heading_styles_word_redline	37.4252224954
worst	redline_randomized__file_27_file_28_redline	37.5921096916
worst	accepted__docx_lots_of_comments_addition_removal_redline_docx_lots_of_comments_addition_removal_redline	37.7530697108
worst	redline_randomized__file_22_file_23_redline	37.7541084809
worst	accepted__docx_lots_of_comments_addition_redline_addition_v_removal_docx_lots_of_comments_addition_redline_redline	37.8689297917
worst	accepted__docx_lots_of_comments_addition_removal_docx_lots_of_comments_addition_redline	37.8689297917
worst	accepted__docx_lots_of_comments_addition_redline_docx_lots_of_comments_addition_removal_redline_removal_v_addition_redline	37.8794227423
worst	accepted__docx_lots_of_comments_addition_removal_redline_removal_v_addition_docx_lots_of_comments_addition_removal_redline_redline	37.8794227423
worst	redline_randomized__file_8_file_9_redline	38.1759369002
worst	redline_randomized__file_33_file_34_redline	38.9714194999
worst	redline_randomized__file_52_file_53_redline	39.0715902914
worst	accepted__sales_report_january_2026_suggesting_insertions_sample_document_afterword_repaired_word_repaired_redline	39.5175097608
worst	accepted__sales_report_january_2026_suggesting_insertions_sample_document_afterword_repaired_word_repaired_word_redline	39.5194849675
worst	accepted__double_spacing_bold_demo_id_paraid_overflow_eigenpal_docx_editor_suggesting_mixed_edits_redline	39.6029504540
worst	accepted__docx_lots_of_comments_addition_docx_lots_of_comments_redline	39.6031144705
worst	redline_randomized__file_21_file_22_redline	39.6296956958
worst	redline_randomized__file_74_file_75_redline	39.6510801133
worst	redline_randomized__file_73_file_74_redline	39.6848033825
worst	redline_randomized__file_26_file_27_redline	39.7234173171
worst	redline_randomized__file_5_file_6_redline	39.7644612614
worst	redline_randomized__file_6_file_7_redline	39.9750789625
worst	redline_randomized__file_53_file_54_redline	40.0121623764
worst	accepted__hr_onboarding_checklist_table_I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you_redline	40.3581778293
worst	redline_randomized__file_16_file_17_redline	40.5575465322
worst	redline_randomized__file_13_file_14_redline	40.6223899083
worst	redline_randomized__file_9_file_10_redline	40.7632589470
worst	redline_randomized__file_7_file_8_redline	41.0652242267
worst	redline_randomized__file_130_file_131_redline	41.0692549385
worst	redline_randomized__file_34_file_35_redline	41.1241280631
worst	redline_randomized__file_174_file_175_redline	41.1486741040
worst	redline_randomized__file_145_file_146_redline	41.1685371755
gt90	accepted__clear_formatting_demo_id_paraid_overflow_comments_word_redline	92.5480027392
next_highest_fill	accepted__employee_review_john_smith_suggesting_insertions_font_color_blue_demo_style_default_missing_redline	88.6090923360
next_highest_fill	accepted__green_highlight_demo_id_paraid_overflow_green_underline_bullet_list_id_paraid_overflow_redline	88.5102819005
next_highest_fill	accepted__subtitle_style_demo_id_paraid_overflow_subtitle_style_demo_style_default_missing_redline	88.3524223410
next_highest_fill	accepted__24_id_paraid_overflow_blue_bold_centered_demo_id_paraid_overflow_redline	86.4451398674
next_highest_fill	accepted__heading_2_center_demo_id_paraid_overflow_heading_2_style_demo_id_paraid_overflow_redline	86.3921031716
next_highest_fill	accepted__heading_1_style_demo_id_paraid_overflow_heading_2_center_demo_id_paraid_overflow_redline	85.0340136643
next_highest_fill	accepted__times_new_roman_font_id_paraid_overflow_title_style_centered_demo_id_paraid_overflow_redline	84.8792297877
next_highest_fill	accepted__title_style_centered_demo_id_paraid_overflow_title_style_demo_id_paraid_overflow_redline	84.5348448932
next_highest_fill	accepted__blue_bold_centered_demo_id_paraid_overflow_blue_centered_title_demo_style_default_missing_redline	84.2978002564
